"country" "mean_adr"
"43" "CZE" 95.4736842105263
"44" "DEU" 137.367641004529
"45" "DJI" 0
"46" "DMA" 124
"47" "DNK" 113.131034482759
"48" "DOM" 185.285714285714
"49" "DZA" 36.6699029126214
"50" "ECU" 28.7037037037037
"51" "EGY" 68.65625
"52" "ESP" 54.8515406162465
"53" "EST" 98.8915662650602
"54" "ETH" 32.6666666666667
"55" "FIN" 67.2125279642058
"56" "FJI" 322
"57" "FRA" 82.3221315410466
"58" "FRO" 286.4
"59" "GAB" 47.25
"60" "GBR" 127.421963888202
"61" "GEO" 97.6818181818182
"62" "GGY" 31.3333333333333
"63" "GHA" 42.25
"64" "GIB" 117.277777777778
"65" "GLP" 103
"66" "GNB" 40.8888888888889
"67" "GRC" 69.0703125
"68" "GTM" 5.25
"69" "GUY" 180
"70" "HKG" 88.9655172413793
"71" "HND" 12
"72" "HRV" 71.12
"73" "HUN" 98.2304347826087
"74" "IDN" 31.2
"75" "IMN" 176.5
"76" "IND" 48.8947368421053
"77" "IRL" 120.446518518519
"78" "IRN" 42.421686746988
"79" "IRQ" 19.2142857142857
"80" "ISL" 155.385964912281
"81" "ISR" 88.9476831091181
"82" "ITA" 90.6648964418481
"83" "JAM" 80
"84" "JEY" 123.875
"85" "JOR" 82.0952380952381
"86" "JPN" 55.0913705583756
"87" "KAZ" 60.5789473684211
"88" "KEN" 64
"89" "KHM" 30
"90" "KIR" 34
"91" "KNA" 251.5
"92" "KOR" 56.609022556391
"93" "KWT" 50.375
"94" "LAO" 2.5
"95" "LBN" 47.1612903225806
"96" "LBY" 49.625
"97" "LCA" 268
"98" "LIE" 20
"99" "LKA" 22.5714285714286
"100" "LTU" 94.9382716049383
"101" "LUX" 97.7073170731707
"102" "LVA" 93.2
"103" "MAC" 64.5
"104" "MAR" 52.034749034749
"105" "MCO" 36.25
"106" "MDG" 0
"107" "MDV" 73.75
"108" "MEX" 47.9058823529412
"109" "MKD" 198.2
"110" "MLI" 0
"111" "MLT" 102.777777777778
"112" "MMR" 2
"113" "MNE" 126.2
"114" "MOZ" 94.7761194029851
"115" "MRT" 148
"116" "MUS" 43
"117" "MWI" 1
"118" "MYS" 76.3214285714286
"119" "MYT" 208
"120" "NAM" 44
"121" "NCL" 116
"122" "NGA" 30.4411764705882
"123" "NIC" 21
"124" "NLD" 80.5769961977186
"125" "NOR" 122.741350906096
"126" "NPL" 3
"127" "NULL" 31.7418032786885
"128" "NZL" 119.540540540541
"129" "OMN" 78.3333333333333
"130" "PAK" 41.7857142857143
"131" "PAN" 58.2222222222222
"132" "PER" 26.7241379310345
"133" "PHL" 58.05
"134" "PLW" 169
"135" "POL" 90.7442872687704
"136" "PRI" 15.5833333333333
"137" "PRT" 115.569479316732
"138" "PRY" 35.5
"139" "PYF" 159
"140" "QAT" 62.3333333333333
"141" "ROU" 108.154
"142" "RUS" 80.2231012658228
"143" "RWA" 102
"144" "SAU" 33.4375
"145" "SDN" 6
"146" "SEN" 55.7272727272727
"147" "SGP" 89.5641025641026
"148" "SLE" 84
"149" "SLV" 49
"150" "SMR" 154
"151" "SRB" 142.267326732673
"152" "STP" 0
"153" "SUR" 54.2
"154" "SVK" 137.323076923077
"155" "SVN" 64
"156" "SWE" 106.4033203125
"157" "SYC" 74
"158" "SYR" 9.33333333333333
"159" "TGO" 62
"160" "THA" 55.4915254237288
"161" "TJK" 44
